sale_order_id,product_default_code
2022-12-512zack5n33c,PRD-MPL-1660790597087
2022-12-512zack5n33c,PRD-MPL-1660790560631
2022-12-511p3bfnbgpr,PRD-MPL-1658132348053
2022-12-511p3bfnbgpr,PRD-MPL-1658132387750
2022-12-511p3bfnbgpr,PRD-MPL-1658132431192
2022-12-511825859840,PRD-MPL-1660790597087
2022-12-5128459biaj5,PRD-MPL-1660790407012
2022-12-5128459biaj5,PRD-MPL-1660790440093
2022-12-5128459biaj5,PRD-MPL-1660790488820
2022-12-512hiuevde87,PRD-MPL-1662357122960
2022-12-512hiuevde87,PRD-MPL-1660790440093
2022-12-512hiuevde87,PRD-MPL-1660790520878
2023-01-512fhmzw2cim,PRD-MPL-1663147801032
2022-12-51246abdnf6p,PRD-MPL-1662357122960
2022-12-51246abdnf6p,PRD-MPL-1660790440093
2022-12-51246abdnf6p,PRD-MPL-1660790488820
2022-12-512h84dpvjzp,PRD-MPL-1660790560631
2022-12-512wmxsgs4ea,PRD-MPL-1661762470663
2022-12-512jsafn9yvw,PRD-MPL-1654579115708
2022-12-512jzvj4wng5,PRD-MPL-1654580301484
2022-12-512jzvj4wng5,PRD-MPL-1659509466904
2022-12-512ighxv4kj6,PRD-MPL-1666174867710
2022-12-512ighxv4kj6,PRD-MPL-1669370418018
2022-12-512ighxv4kj6,PRD-MPL-1660617037617
2022-12-512ppz3hqi4a,PRD-MPL-1661500583356
2022-12-512q4p2imsnv,PRD-MPL-1661498913132
2022-12-512hiuevde87,PRD-MPL-1660790440093
2023-01-512a8kpzzq6q,PRD-MPL-1660790440093
2022-12-512hiuevde87,PRD-MPL-1660790520878
2022-12-512wmxsgs4ea,PRD-MPL-1666351664345
2022-12-512wmxsgs4ea,PRD-MPL-1666835159077
2022-12-512a9rdhg3c9,PRD-MPL-1670345735018
2022-12-512svbvrujt9,PRD-MPL-1654579115708
2022-12-512fiyn9kiak,PRD-MPL-1658132387750
2022-12-512erexpiz95,PRD-MPL-1658132348053
2022-12-512erexpiz95,PRD-MPL-1658132387750
2022-12-5125sg7x2d74,PRD-MPL-1671173004280
