sale_order_id,product_default_code,product_subcategory
2022-12-512zack5n33c,[A04] SI - 02 SP,Pakan
2022-12-512zack5n33c,SI-02UP,Pakan
2022-12-511p3bfnbgpr,SGH P 1.2,Pakan
2022-12-511p3bfnbgpr,SGH P 1.4,Pakan
2022-12-511p3bfnbgpr,SGH P 1.6,Pakan
2022-12-511825859840,[A04] SI - 02 SP,Pakan
2022-12-5128459biaj5,SI-00 C,Pakan
2022-12-5128459biaj5,SI-01 C,Pakan
2022-12-5128459biaj5,SI-02S,Pakan
2022-12-512hiuevde87,SS-00,Pakan
2022-12-512hiuevde87,SI-01 C,Pakan
2022-12-512hiuevde87,SI-02P,Pakan
2023-01-512fhmzw2cim,BIOLACTO,Probiotik
2022-12-51246abdnf6p,SS-00,Pakan
2022-12-51246abdnf6p,SI-01 C,Pakan
2022-12-51246abdnf6p,SI-02S,Pakan
2022-12-512h84dpvjzp,SI-02UP,Pakan
2022-12-512wmxsgs4ea,BENUR TKP,Benur
2022-12-512jsafn9yvw,AQUASEPT 3.0,Disinfectan
2022-12-512jzvj4wng5,PROTEXIN AQUATEC,Probiotik
2022-12-512jzvj4wng5,PROTEAQ STOMI 10 KG,Mineral
2022-12-512ighxv4kj6,FORTE 932C,Pakan
2022-12-512ighxv4kj6,ECO GREEN EG932C,Pakan
2022-12-512ighxv4kj6,ECO GREEN EG932P,Pakan
2022-12-512ppz3hqi4a,EVERGREEN 921-3M,Pakan
2022-12-512q4p2imsnv,EVERGREEN 922-1,Pakan
2022-12-512hiuevde87,SI-01 C,Pakan
2023-01-512a8kpzzq6q,SI-01 C,Pakan
2022-12-512hiuevde87,SI-02P,Pakan
2022-12-512wmxsgs4ea,SS-00L,Pakan
2022-12-512wmxsgs4ea,SI-00L,Pakan
2022-12-512a9rdhg3c9,RUBY SA 3AA,Pakan
2022-12-512svbvrujt9,AQUASEPT 3.0,Disinfectan
2022-12-512fiyn9kiak,SGH P 1.4,Pakan
2022-12-512erexpiz95,SGH P 1.2,Pakan
2022-12-512erexpiz95,SGH P 1.4,Pakan
2022-12-5125sg7x2d74,PAKAN IRAWAN 682V,Pakan
2022-12-5125sg7x2d74,IRAWAN 683P,Pakan
2022-12-5125sg7x2d74,NOVO 6003,Pakan
2022-12-5125sg7x2d74,PAKAN NOVO 6003SP,Pakan
2022-12-512r8n2ryetw,SI-01 C,Pakan
2022-12-512r8n2ryetw,SI-02S,Pakan
2022-12-512r8n2ryetw,SI-02P,Pakan
2022-12-512r8n2ryetw,[A04] SI - 02 SP,Pakan
2022-12-512r8n2ryetw,[A04] SI - 02 SP,Pakan
2022-12-512r8n2ryetw,[A04] SI - 02 P,Pakan
2022-12-511iykp2tvmx,SI-02P,Pakan
2022-12-511iykp2tvmx,SI-02S,Pakan
2022-12-511iykp2tvmx,SI-02P,Pakan
2022-12-512mtfh3snts,SI-00 C,Pakan
2022-12-512mtfh3snts,SI-01 C,Pakan
2022-12-512cra7n6hvx,SI-02S,Pakan
2022-12-512cra7n6hvx,SI-02P,Pakan
2022-12-512cra7n6hvx,SI-02UP,Pakan
2022-12-5115yx36i9at,SI-02P,Pakan
2022-12-512k623v3wkt,SI-02S,Pakan
2022-12-512k623v3wkt,SI-02P,Pakan
2022-12-511zigk6atk7,SI-02P,Pakan
2022-12-512hd28rqj98,EVERGREEN 922-0,Pakan
2022-12-512hd28rqj98,EVERGREEN 922-1,Pakan
2022-12-512euwnmtevj,EVERGREEN 922-0,Pakan
2022-12-512euwnmtevj,EVERGREEN 922-1,Pakan
2022-12-512uc6i2ih53,HAIDA HDV D3,Pakan
2022-12-512uc6i2ih53,HAIDA HDVC 2,Pakan
2022-12-512uc6i2ih53,HAIDA HDV C2L,Pakan
2022-12-512uc6i2ih53,HAIDA HDVC 0,Pakan
2022-12-512dh5y55vyr,[A04] SI - 02 P,Pakan
2022-12-51287cm8di3a,PROTEXIN AQUATEC,Probiotik
2023-01-512a8kpzzq6q,SI-00L,Pakan
2022-12-51287cm8di3a,PROQUATIC POND RESTORE 500 ML,Mineral
2022-12-512sk6kkx5xw,BIOLACTO,Probiotik
2022-12-512sk6kkx5xw,QUICKPRO DIRECT,Probiotik
2022-12-512sk6kkx5xw,FAST GROW,Suplemen
2022-12-511822755505,EVERGREEN 922-3S,Pakan
2022-12-511822755505,EVERGREEN 922-3M,Pakan
2022-12-511822755505,EVERGREEN 922-3L,Pakan
2022-12-511736879789,FORTE 932P,Pakan
2022-12-511736879789,FORTE 932C,Pakan
2022-12-511736879789,FORTE 932C,Pakan
2022-12-512tt9naafkj,MINERAL FIX 10 KG,Mineral
2022-12-512tt9naafkj,PROTEAQ STOMI 10 KG,Mineral
2022-12-512my2wxvqep,PROQUATIC POND RESTORE 500 ML,Mineral
2022-12-512s2pf6vp6d,AQUASEPT 3.0,Disinfectan
2022-12-512sivx4d4ap,FORTE 933P,Pakan
2022-12-512xhxsjfq2q,BENUR TKP,Benur
2022-12-512hjvthzzp8,COFORTA A 500 GR,Vitamin
2022-12-512fxmvdravu,SGH C0,Pakan
2022-12-512fxmvdravu,SGH C1,Pakan
2022-12-512b4w7mt2pm,BENUR MATAHARI CIPTA SENTOSA JATENG,Benur
2022-12-5125xiycr7cu,BENUR MATAHARI CIPTA SENTOSA JATENG,Benur
2022-12-512cn9smk9ag,PV C2,Pakan
2022-12-512cn9smk9ag,SGH P 1.2,Pakan
2022-12-512cn9smk9ag,SGH P 1.4,Pakan
2022-12-5129i2s7drm5,PV C2,Pakan
2022-12-5129i2s7drm5,SGH P 1.4,Pakan
