Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,LATITUDE,LONGTITUED,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,CRASH_DATE,CRASH_TIME,DateTime,grav_min,grav_max,count,gravMerged,severity
2.014E+11,2014,6,24,1130,1,1,2,1,3,592,rte de larra/RD 87,M,43.72906,1.23796,310,3,87,,A,,,0,0,,,,,,1,,1,99,6/24/2014,11:30,6/24/2014,2,3,2,1,1
2.013E+11,2013,7,17,1830,1,1,1,1,7,6,AUTOROUTE A3,M,48.8699,2.43032,930,1,3,,,3,4,1,500,0,0,0,15,140,1,0,2,99,7/17/2013,18:30,7/17/2013,2,2,1,0,0
2.015E+11,2015,10,13,745,2,1,1,1,2,497,,M,49.36598,1.0395,760,2,138,,,3,3,13,200,0,1,1,0,120,1,0,1,99,10/13/2015,7:45,10/13/2015,1,2,2,0,0
2.015E+11,2015,2,9,630,5,2,1,1,6,8,", DIVISION LECLERC (AVEN",,nan,nan,930,4,0,,,3,2,,,0,1,1,40,40,1,0,1,99,2/9/2015,6:30,2/9/2015,1,3,2,1,1
2.016E+11,2016,1,20,715,5,2,1,9,2,17,DE MUN  (RUE ALBERT ),,nan,nan,590,4,0,,,2,2,,,2,2,1,0,64,2,2,1,0,1/20/2016,7:15,1/20/2016,1,3,2,1,1
2.013E+11,2013,8,6,1410,1,2,3,1,1,56,DOLE RUE DE <82,,nan,nan,250,3,673,,,2,0,18,100,0,1,1,0,0,1,0,1,99,8/6/2013,14:10,8/6/2013,1,3,2,1,1
2.014E+11,2014,9,21,1230,1,1,1,1,6,405,,M,46.1586,5.1853,10,3,1083,,,2,2,41,500,0,1,1,0,60,1,0,3,0,9/21/2014,12:30,9/21/2014,3,3,1,1,1
2.014E+11,2014,3,22,2000,5,2,1,1,7,9,"Comm, GOUVERNEUR PONTON",A,0,0,972,4,,,,1,1,,,0,1,1,0,0,1,0,1,99,3/22/2014,20:00,3/22/2014,3,3,1,1,1
2.015E+11,2015,9,10,1815,1,1,1,1,1,38,,M,0,0,830,3,955,,,2,2,33,0,0,0,1,0,70,1,0,1,0,9/10/2015,18:15,9/10/2015,3,3,2,2,1
2.013E+11,2013,6,20,1740,1,2,3,1,6,66,"8, MICHELS CHARLES",,nan,nan,930,4,0,,,2,2,0,1,0,1,1,120,100,1,0,1,99,6/20/2013,17:40,6/20/2013,1,2,2,0,0
2.015E+11,2015,3,24,1715,1,2,6,2,6,191,24 RUE DU GRAL LARGEAU,M,46.32235,-0.46684,790,3,744,,,2,2,75,650,3,2,1,0,70,2,5,4,3,3/24/2015,17:15,3/24/2015,1,2,2,0,0
2.015E+11,2015,5,30,1857,1,2,1,1,6,29,CEDRE (AVENUE DU),,nan,nan,60,4,0,,,1,2,,,0,1,1,0,80,1,0,1,0,5/30/2015,18:57,5/30/2015,2,2,1,0,0
2.016E+11,2016,10,22,2230,3,1,9,5,6,509,D107 RTE DE COUTENCON,M,48.48,3.02448,770,3,107,,,2,2,2,626,0,1,0,0,20,3,0,3,99,10/22/2016,22:30,10/22/2016,4,4,1,1,1
2.016E+11,2016,1,24,1015,2,1,2,5,1,380,AV DU MIDI,M,0,0,260,2,7,,,2,2,23,600,0,1,1,0,70,1,0,0,99,1/24/2016,10:15,1/24/2016,2,2,2,0,0
2.016E+11,2016,9,21,1915,1,2,3,1,3,31,"15, JOUVET (RUE LOUIS)",M,45.16715,1.52522,190,4,0,,,2,2,,,0,1,1,0,0,1,0,1,99,9/21/2016,19:15,9/21/2016,1,2,2,0,0
2.015E+11,2015,12,3,745,2,2,1,8,6,20,,M,0,0,440,3,85,,,2,0,,,0,1,1,0,67,1,0,1,0,12/3/2015,7:45,12/3/2015,1,3,2,1,1
2.013E+11,2013,3,20,1410,1,2,2,1,6,110,"46, RUE DU FAUBOURG SAIN",,nan,nan,750,4,0,,,1,1,,,0,1,1,0,30,1,0,1,0,3/20/2013,14:10,3/20/2013,1,2,2,0,0
2.015E+11,2015,9,16,725,1,2,1,3,7,109,"115, BOULEVARD DE LA FRA",M,47.2207,-1.58627,440,4,0,,,2,0,,,0,1,1,0,0,2,0,1,0,9/16/2015,7:25,9/16/2015,1,2,2,0,0
2.013E+11,2013,1,1,1600,1,2,1,1,7,362,122 AVENUE VICTOR HUGO,M,44.9248,4.8881,260,4,,,,2,2,,,0,1,1,0,0,1,0,0,0,1/1/2013,16:00,1/1/2013,2,2,1,0,0
2.013E+11,2013,1,24,1345,1,2,1,1,7,44,"32, MICHELET (QUAI) 32 A",,nan,nan,920,4,0,,,1,0,,,0,1,1,0,0,2,0,1,99,1/24/2013,13:45,1/24/2013,3,3,1,1,1
2.016E+11,2016,5,19,1545,1,2,1,2,6,545,avenue de rivalta,M,0,0,380,3,1,,,2,1,,,0,1,1,0,0,2,0,1,99,5/19/2016,15:45,5/19/2016,1,3,2,1,1
2.014E+11,2014,12,8,1730,3,1,1,3,6,344,POINTIS INARD (ROUTE DE),M,43.09731,0.77058,310,3,21,,,2,2,10,678,0,1,1,0,0,2,0,1,99,12/8/2014,17:30,12/8/2014,1,3,2,1,1
